chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr1	186676320	186676491	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0
chr1	186706251	186706266	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	4	NA	NA
chr1	186706543	186706730	18	NA	NA	32	0	20	0	NA	NA	24	3	NA	NA	NA	NA	NA	NA	NA	NA	28	4
chr1	186780443	186780568	11	24	24	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	40	39
chr1	187027270	187027431	9	NA	NA	20	8	22	16	23	13	NA	NA	20	2	21	6	20	7	NA	NA	NA	NA
chr1	187027692	187027768	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	7	NA	NA	NA	NA	NA	NA	NA	NA
chr1	187028168	187028420	16	NA	NA	NA	NA	NA	NA	24	3	NA	NA	NA	NA	40	7	22	3	31	14	NA	NA
chr1	187091154	187091195	5	NA	NA	NA	NA	28	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	187155944	187156041	16	NA	NA	NA	NA	27	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	6
chr1	187279047	187279140	14	20	4	NA	NA	26	0	NA	NA	NA	NA	NA	NA	NA	NA	27	14	35	5	NA	NA
chr1	187282534	187282562	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	28	NA	NA	NA	NA	NA	NA
chr1	187339404	187339607	8	NA	NA	21	18	NA	NA	NA	NA	22	21	NA	NA	NA	NA	NA	NA	21	16	NA	NA
chr1	187660840	187660947	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	17	NA	NA
chr1	187940797	187940974	10	NA	NA	NA	NA	26	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	188526791	188526841	4	24	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	188528160	188528459	15	25	6	NA	NA	NA	NA	NA	NA	NA	NA	20	7	NA	NA	38	14	NA	NA	NA	NA
chr1	188529108	188529142	8	NA	NA	NA	NA	NA	NA	NA	NA	24	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	188545890	188546057	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	4
chr1	188572944	188573027	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA
chr1	188791964	188792021	8	33	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	188792306	188792428	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr1	189428780	189428887	11	NA	NA	29	26	NA	NA	NA	NA	21	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	189432954	189433057	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	8	NA	NA
chr1	189433542	189433591	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	15	NA	NA	NA	NA	NA	NA
chr1	189475312	189475546	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	7	NA	NA	NA	NA	NA	NA	NA	NA
chr1	189767111	189767306	7	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	189921942	189921960	7	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	189978663	189978719	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	22	NA	NA	NA	NA	NA	NA	NA	NA
chr1	190714677	190714749	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	24	24	NA	NA
chr1	190714893	190715092	12	NA	NA	NA	NA	34	33	NA	NA	NA	NA	37	33	26	26	NA	NA	34	34	NA	NA
chr1	190825816	190825934	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	34	NA	NA	NA	NA	NA	NA
chr1	190904829	190904877	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA
chr1	191166814	191166955	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	4	NA	NA
chr1	191167217	191167273	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1	NA	NA
chr1	191552445	191552770	13	NA	NA	NA	NA	NA	NA	NA	NA	30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	191684878	191685124	8	23	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	191687151	191687235	5	NA	NA	NA	NA	21	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	191818922	191818952	7	NA	NA	NA	NA	NA	NA	28	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	191993208	191993405	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	17	NA	NA
chr1	191993989	191994100	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	9	NA	NA	NA	NA	NA	NA	NA	NA
chr1	191996782	191996896	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	3	NA	NA	NA	NA	NA	NA
chr1	192773025	192773163	12	NA	NA	37	36	NA	NA	32	29	23	23	34	27	20	17	NA	NA	21	14	NA	NA
chr1	192802077	192802230	12	NA	NA	NA	NA	23	10	NA	NA	NA	NA	33	12	NA	NA	NA	NA	32	5	20	8
chr1	192802678	192802817	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	24	NA	NA	NA	NA	NA	NA
chr1	192850056	192850142	9	NA	NA	NA	NA	NA	NA	20	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1
chr1	192922493	192922554	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193007009	193007218	15	NA	NA	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	8
chr1	193008032	193008130	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	4	NA	NA
chr1	193149942	193149981	7	NA	NA	NA	NA	21	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193150196	193150696	22	37	7	36	6	24	7	34	4	26	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193220143	193220274	13	NA	NA	24	9	NA	NA	NA	NA	NA	NA	NA	NA	31	9	NA	NA	NA	NA	NA	NA
chr1	193220866	193220935	7	NA	NA	NA	NA	21	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193255988	193256113	6	NA	NA	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193318873	193319022	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	21
chr1	193399394	193399462	9	NA	NA	NA	NA	NA	NA	NA	NA	32	15	NA	NA	NA	NA	24	11	NA	NA	NA	NA
chr1	193399589	193399637	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	4	NA	NA	NA	NA	NA	NA	41	0
chr1	193399741	193399872	13	NA	NA	NA	NA	38	6	NA	NA	NA	NA	NA	NA	23	1	NA	NA	NA	NA	NA	NA
chr1	193543073	193543138	11	NA	NA	NA	NA	28	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	6	NA	NA
chr1	193645261	193645404	13	NA	NA	29	7	NA	NA	NA	NA	25	4	NA	NA	28	6	NA	NA	NA	NA	NA	NA
chr1	193645600	193645648	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	2
chr1	193718530	193718587	8	NA	NA	NA	NA	NA	NA	NA	NA	35	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193731736	193732040	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	4	NA	NA	NA	NA	NA	NA
chr1	193813843	193814087	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	11	NA	NA	NA	NA	NA	NA
chr1	193960047	193960113	4	NA	NA	23	15	24	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	193960905	193961062	15	27	2	23	16	49	27	20	4	NA	NA	36	8	35	11	NA	NA	NA	NA	NA	NA
chr1	193961803	193961846	8	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	194982469	194982747	9	NA	NA	NA	NA	22	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	195458902	195458964	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	9	NA	NA	NA	NA	NA	NA	NA	NA
chr1	196445887	196445943	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	196446499	196446551	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0	NA	NA	NA	NA
chr1	196957298	196957579	16	NA	NA	NA	NA	34	12	NA	NA	35	18	NA	NA	NA	NA	24	6	NA	NA	NA	NA
chr1	197067766	197068093	31	191	83	199	78	191	92	194	78	183	78	198	106	239	89	125	62	186	81	215	95
chr2	3020065	3020105	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	15	NA	NA	NA	NA	NA	NA	NA	NA
chr2	3249854	3249924	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	6	NA	NA	NA	NA	NA	NA
chr2	3630554	3630681	7	NA	NA	NA	NA	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	3631295	3631356	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	2	NA	NA	NA	NA	NA	NA	NA	NA
chr2	4267488	4267549	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr2	4492707	4492755	12	NA	NA	NA	NA	NA	NA	36	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	4524599	4524729	11	21	21	28	19	NA	NA	NA	NA	NA	NA	32	31	NA	NA	NA	NA	NA	NA	26	25
chr2	4858882	4859059	8	NA	NA	NA	NA	21	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	4933722	4933771	6	NA	NA	NA	NA	22	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	4984634	4984748	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	5	NA	NA	NA	NA	NA	NA	NA	NA
chr2	4984953	4985077	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	0	NA	NA	NA	NA
chr2	5300348	5300375	7	NA	NA	21	20	NA	NA	21	17	NA	NA	35	19	NA	NA	NA	NA	21	15	NA	NA
chr2	5597362	5597424	5	NA	NA	26	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	5634789	5635168	34	22	10	45	18	66	7	NA	NA	61	30	37	1	21	0	59	23	52	17	36	19
chr2	5636265	5636340	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	14	NA	NA	NA	NA	NA	NA
chr2	5766441	5766555	15	NA	NA	NA	NA	NA	NA	NA	NA	27	0	32	16	NA	NA	NA	NA	NA	NA	NA	NA
chr2	5816264	5816348	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	2	20	8	NA	NA	34	5
chr2	5871857	5871985	9	NA	NA	NA	NA	21	1	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	5872338	5872412	7	NA	NA	NA	NA	NA	NA	NA	NA	24	8	25	4	NA	NA	NA	NA	NA	NA	NA	NA
chr2	6114371	6114471	9	22	19	NA	NA	37	37	NA	NA	34	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	6243338	6243526	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	12
chr2	6243869	6243936	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	6
chr2	8964075	8964177	9	27	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	10	NA	NA	NA	NA	NA	NA
chr2	9799202	9799331	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	0	NA	NA	NA	NA	27	3
chr2	9800559	9800602	5	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	9803881	9803929	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	17	28	11	NA	NA	NA	NA	NA	NA
chr2	9969940	9970160	19	NA	NA	NA	NA	26	4	27	17	NA	NA	31	3	100	34	28	16	38	14	32	12
chr2	9970315	9970454	12	NA	NA	31	19	21	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	10001313	10001455	5	NA	NA	NA	NA	NA	NA	23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	10295713	10295961	7	NA	NA	NA	NA	31	6	NA	NA	21	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	10329383	10329410	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	30	NA	NA	NA	NA	NA	NA
chr2	10747298	10747580	8	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	11422397	11422583	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	15
chr2	11422701	11422897	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA
chr2	11423374	11423749	19	NA	NA	25	21	NA	NA	28	13	NA	NA	24	9	24	9	32	5	21	3	NA	NA
chr2	11424572	11424789	15	21	0	38	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	9
chr2	11475448	11475510	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	12	NA	NA	NA	NA
chr2	11524694	11524726	7	21	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	11698575	11698893	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	7	NA	NA	NA	NA	26	10
chr2	11699102	11699384	27	NA	NA	33	8	41	2	43	9	22	8	21	5	25	5	40	6	24	2	NA	NA
chr2	11699904	11700079	13	29	1	NA	NA	NA	NA	NA	NA	27	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	11923896	11923941	13	NA	NA	40	8	NA	NA	NA	NA	NA	NA	56	15	28	0	47	2	23	2	NA	NA
chr2	12340797	12340998	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	21
chr2	12931660	12931826	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	6
chr2	12932135	12932168	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	7	NA	NA	NA	NA
chr2	12932445	12932639	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	5
chr2	13192877	13193043	12	40	28	NA	NA	38	12	34	15	NA	NA	31	16	51	12	NA	NA	NA	NA	20	12
chr2	13995313	13995397	6	NA	NA	NA	NA	20	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	13996006	13996125	9	21	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA
chr2	14976426	14976734	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	4	NA	NA	NA	NA	NA	NA	NA	NA
chr2	17948287	17948435	10	NA	NA	NA	NA	NA	NA	25	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	17949453	17949673	14	NA	NA	NA	NA	24	9	NA	NA	26	21	26	11	NA	NA	31	11	23	7	NA	NA
chr2	18260449	18260724	10	24	23	21	21	NA	NA	NA	NA	27	26	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr2	18382302	18382508	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	21	NA	NA	20	20	NA	NA	NA	NA
chr2	18531501	18531684	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12	NA	NA	NA	NA	NA	NA	NA	NA
chr2	18610431	18610460	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	8
chr2	18620252	18620335	9	29	19	NA	NA	26	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	18620814	18621027	10	NA	NA	NA	NA	36	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	18879302	18879369	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	22	21	20	NA	NA	22	19	NA	NA
chr2	18918614	18918641	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	24	NA	NA	NA	NA	NA	NA
chr2	18919156	18919207	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	10	NA	NA
chr2	19120861	19121179	11	NA	NA	NA	NA	25	13	NA	NA	NA	NA	22	7	NA	NA	NA	NA	NA	NA	NA	NA
chr2	19197725	19198014	9	21	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	19293420	19293539	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	8	NA	NA	23	5	NA	NA
chr2	19353587	19353640	6	NA	NA	NA	NA	NA	NA	20	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	19367387	19367604	14	NA	NA	37	17	31	8	NA	NA	22	8	NA	NA	26	9	NA	NA	NA	NA	NA	NA
chr2	19373644	19373685	6	NA	NA	NA	NA	NA	NA	23	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	19580538	19580744	11	NA	NA	NA	NA	31	6	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA
chr2	19611814	19612117	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA
chr2	19648565	19648772	7	NA	NA	27	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr2	21127504	21127672	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	2	NA	NA	NA	NA	32	16	30	8
chr2	22442837	22443238	13	49	33	40	15	48	21	41	20	75	49	57	24	56	29	31	23	39	22	51	28
chr2	22444105	22444231	4	NA	NA	NA	NA	NA	NA	NA	NA	23	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	22477748	22478215	30	53	10	33	1	59	30	64	3	NA	NA	21	2	44	17	NA	NA	45	14	48	18
chr2	22478930	22479014	8	NA	NA	NA	NA	NA	NA	31	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	22479682	22479815	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	43	NA	NA	NA	NA	NA	NA
chr2	22750939	22750993	8	NA	NA	31	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	22751274	22751441	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10	NA	NA	NA	NA	NA	NA	NA	NA
chr2	22923600	22923664	5	NA	NA	28	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	22924471	22924851	16	NA	NA	NA	NA	32	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	17
chr2	23012080	23012445	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	15
chr2	24222978	24223071	11	40	16	NA	NA	NA	NA	20	8	NA	NA	NA	NA	20	12	NA	NA	NA	NA	NA	NA
chr2	24774446	24774546	9	NA	NA	22	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	24790637	24790721	11	28	18	NA	NA	NA	NA	24	8	23	9	43	32	NA	NA	NA	NA	NA	NA	NA	NA
chr2	24830371	24830435	7	NA	NA	NA	NA	NA	NA	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25036927	25037052	12	26	7	NA	NA	NA	NA	21	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	15
chr2	25037408	25037462	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25041615	25041952	13	NA	NA	NA	NA	21	0	24	1	NA	NA	NA	NA	21	8	NA	NA	NA	NA	NA	NA
chr2	25066434	25066494	6	NA	NA	NA	NA	22	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25110675	25110894	22	29	11	NA	NA	76	10	31	13	20	0	33	4	34	20	NA	NA	NA	NA	NA	NA
chr2	25128403	25128483	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	0	NA	NA
chr2	25146695	25146822	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	7	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25174781	25174885	11	24	5	22	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25187668	25187815	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10	NA	NA	NA	NA	NA	NA
chr2	25187967	25188129	15	NA	NA	NA	NA	NA	NA	54	13	20	4	NA	NA	NA	NA	NA	NA	40	15	NA	NA
chr2	25228202	25228281	15	NA	NA	NA	NA	NA	NA	22	14	NA	NA	NA	NA	NA	NA	34	6	NA	NA	29	0
chr2	25258619	25258690	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	4	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25402202	25402286	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	3	NA	NA
chr2	25432740	25432778	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	15	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25433383	25433467	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	19	NA	NA	NA	NA	29	14
chr2	25433913	25434349	22	NA	NA	30	11	38	18	NA	NA	NA	NA	21	7	23	19	NA	NA	NA	NA	NA	NA
chr2	25434838	25434991	10	NA	NA	NA	NA	22	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25463583	25463866	22	NA	NA	25	7	26	3	61	20	23	14	NA	NA	NA	NA	48	25	NA	NA	21	10
chr2	25477071	25477222	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	4
chr2	25562289	25562335	5	NA	NA	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	25719570	25719630	11	NA	NA	NA	NA	NA	NA	NA	NA	29	7	NA	NA	33	14	NA	NA	NA	NA	NA	NA
chr2	25837964	25838195	19	33	10	44	7	38	9	NA	NA	NA	NA	26	5	NA	NA	NA	NA	32	5	20	10
chr2	25839528	25839592	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	6
chr2	26357827	26357986	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	2	NA	NA
chr2	26358614	26358785	11	NA	NA	20	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	26444851	26444965	7	NA	NA	NA	NA	26	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	26517541	26517581	4	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	26766252	26766682	30	42	13	56	7	33	8	NA	NA	25	9	NA	NA	28	11	33	24	40	14	34	15
chr2	26771770	26772026	18	NA	NA	29	7	50	22	21	2	32	7	23	3	35	9	NA	NA	NA	NA	NA	NA
chr2	26789348	26789457	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	4	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27199605	27199839	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13	NA	NA	20	18	NA	NA	NA	NA
chr2	27228989	27229147	11	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA	26	26	NA	NA	NA	NA
chr2	27330655	27330827	13	26	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27342550	27342658	6	NA	NA	NA	NA	34	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27370564	27370624	6	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27532000	27532084	7	NA	NA	NA	NA	NA	NA	NA	NA	20	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27532382	27532435	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	19	NA	NA	NA	NA	NA	NA
chr2	27741600	27741709	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	4	NA	NA	NA	NA	NA	NA	NA	NA
chr2	27742301	27742374	12	23	0	NA	NA	NA	NA	NA	NA	58	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
